Asteroid_Name,Taxonomic_Type,Calculated_Grain_Density_gcm3,Calculated_Grain_Density_Uncertainty_gcm3,Bulk_Density_gcm3,Bulk_Density_Uncertainty_gcm3,Grain_Minus_Bulk_gcm3,Grain_Minus_Bulk_Uncertainty_gcm3
1 Ceres,C,2.17,1.072,2.16,0.05,0.01,1.074
2 Pallas,B,2.191,2.514,2.89,0.08,-0.699,2.516
10 Hygiea,C,2.106,1.035,2.06,0.2,0.046,1.055
52 Europa,C,2.179,1.0,1.5,0.3,0.679,1.044
253 Mathilde,C,2.193,1.988,1.3,0.2,0.893,1.998
101955 Bennu,C,2.176,2.718,1.19,0.013,0.986,2.718
162173 Ryugu,C,2.252,2.344,1.19,0.02,1.062,2.344
704 Interamnia,F,2.195,2.259,1.98,0.68,0.215,2.359
511 Davida,C,2.205,3.201,2.2,0.3,0.005,3.215
324 Bamberga,C,2.185,1.959,1.62,0.38,0.565,1.996
433 Eros,S,3.625,1.694,2.67,0.03,0.955,1.694
25143 Itokawa,S,3.415,1.252,1.9,0.1,1.515,1.256
243 Ida,S,3.723,1.26,2.6,0.2,1.123,1.276
951 Gaspra,S,3.575,2.037,2.7,0.3,0.875,2.059
3 Juno,S,3.631,3.552,3.2,0.4,0.431,3.574
6 Hebe,S,3.424,6.421,3.0,0.3,0.424,6.428
7 Iris,S,3.41,5.047,2.7,0.3,0.71,5.056
15 Eunomia,S,3.809,2.871,3.1,0.2,0.709,2.878
20 Massalia,S,3.878,1.987,2.5,0.3,1.378,2.009
4179 Toutatis,S,3.549,2.397,2.1,0.3,1.449,2.416
4 Vesta,V,3.234,0.119,3.456,0.035,-0.222,0.124
1929 Kollaa,V,3.245,0.149,3.2,0.4,0.045,0.427
2912 Lapalisse,V,3.229,0.144,3.0,0.5,0.229,0.52
16 Psyche,M,7.331,3.343,3.4,0.3,3.931,3.356
21 Lutetia,M,5.161,6.588,3.4,0.2,1.761,6.591
22 Kalliope,M,7.53,3.053,3.35,0.33,4.18,3.071
44 Nysa,E,2.73,0.046,2.5,0.4,0.23,0.403
624 Hektor,D,5.07,6.462,2.4,0.3,2.67,6.469
617 Patroclus,P,1.746,1.472,0.8,0.1,0.946,1.475
911 Agamemnon,D,1.485,2.023,2.2,0.4,-0.715,2.062
